indiciaName,indiciaPrefTvk,fine-scale_habitat,broad-scale_habitat,indicator,indicator_type,wildflower,guidanceSpecies,SpForBRCLookup,TVK_CONCEPT_REC
Achillea millefolium,NBNSYS0000004451,Dry acid grassland,Lowland grassland,y,positive,y,Achillea millefolium,Achillea millefolium,NBNSYS0000004451
Achillea millefolium,NBNSYS0000004451,Machair,Coast,y,positive,y,Achillea millefolium,Achillea millefolium,NBNSYS0000004451
Achillea millefolium,NBNSYS0000004451,Maritime cliffs and slopes,Coast,y,positive,y,Achillea millefolium,Achillea millefolium,NBNSYS0000004451
Achillea millefolium,NBNSYS0000004451,Montane calcareous grassland,Upland grassland,y,positive,y,Achillea millefolium,Achillea millefolium,NBNSYS0000004451
Achillea millefolium,NBNSYS0000004451,Montane rocks and scree,"Rock outcrops, cliffs and scree",y,positive,y,Achillea millefolium,Achillea millefolium,NBNSYS0000004451
Aethusa cynapium,NBNSYS0000003696,Arable field margins,Arable margins,y,positive,,Aethusa cynapium,Aethusa cynapium,NBNSYS0000003696
Agrimonia eupatoria,NBNSYS0000003366,Neutral damp grassland,Lowland grassland,y,positive,,Agrimonia eupatoria,Agrimonia eupatoria,NBNSYS0000003366
Agrostis capillaris,NBNSYS0000002638,Montane acid grassland,Upland grassland,y,negative,,Agrostis capillaris,Agrostis capillaris,NBNSYS0000002638
Agrostis capillaris,NBNSYS0000002638,Montane dry heathland,Heathland,y,negative,,Agrostis capillaris,Agrostis capillaris,NBNSYS0000002638
Ajuga reptans,NBNSYS0000004269,"Base-rich fens, mires and springs",Marsh and fen,y,positive,y,Ajuga reptans,Ajuga reptans,NBNSYS0000004269
Ajuga reptans,NBNSYS0000004269,Wet woodland,"Broadleaved woodland, hedges and scrub",y,positive,y,Ajuga reptans,Ajuga reptans,NBNSYS0000004269
Alchemilla alpina,NBNSYS0000003369,Montane acid grassland,Upland grassland,y,positive,y,Alchemilla alpina,Alchemilla alpina,NBNSYS0000003369
Alchemilla alpina,NBNSYS0000003369,Montane calcareous grassland,Upland grassland,y,positive,y,Alchemilla alpina,Alchemilla alpina,NBNSYS0000003369
Alchemilla alpina,NBNSYS0000003369,Montane rocks and scree,"Rock outcrops, cliffs and scree",y,positive,y,Alchemilla alpina,Alchemilla alpina,NBNSYS0000003369
Alisma plantago-aquatica,NBNSYS0000002101,Nutrient-poor lakes and ponds,Freshwater,y,positive,y,Alisma plantago-aquatica,Alisma plantago-aquatica,NBNSYS0000002101
Alisma plantago-aquatica,NBNSYS0000002101,Nutrient-rich lakes and ponds,Freshwater,y,positive,y,Alisma plantago-aquatica,Alisma plantago-aquatica,NBNSYS0000002101
Allium ursinum,NBNSYS0000002205,Dry deciduous woodland,"Broadleaved woodland, hedges and scrub",y,positive,y,Allium ursinum,Allium ursinum,NBNSYS0000002205
Alnus glutinosa,NHMSYS0000455771,Nutrient-rich lakes and ponds,Freshwater,y,positive,y,Alnus glutinosa,Alnus glutinosa,NHMSYS0000455771
Alopecurus geniculatus,NBNSYS0000002657,Coastal sand dunes,Coast,y,positive,,Alopecurus geniculatus,Alopecurus geniculatus,NBNSYS0000002657
Alopecurus geniculatus,NBNSYS0000002657,Neutral damp grassland,Lowland grassland,y,positive,,Alopecurus geniculatus,Alopecurus geniculatus,NBNSYS0000002657
Alopecurus myosuroides,NHMSYS0000455779,Arable field margins,Arable margins,y,negative,,Alopecurus myosuroides,Alopecurus myosuroides,NHMSYS0000455779
Ammophila arenaria,NBNSYS0000002629,Coastal vegetated shingle,Coast,y,positive,,Ammophila arenaria,Ammophila arenaria,NBNSYS0000002629
Anagallis arvensis,NBNSYS0000003943,Arable field margins,Arable margins,y,positive,y,Anagallis arvensis,Anagallis arvensis,NBNSYS0000003943
Anagallis tenella,NBNSYS0000003942,"Acid fens, mires and springs",Marsh and fen,y,positive,y,Anagallis tenella,Anagallis tenella,NBNSYS0000003942
Anagallis tenella,NBNSYS0000003942,"Base-rich fens, mires and springs",Marsh and fen,y,positive,y,Anagallis tenella,Anagallis tenella,NBNSYS0000003942
Anemone nemorosa,NBNSYS0000002700,Montane acid grassland,Upland grassland,y,positive,y,Anemone nemorosa,Anemone nemorosa,NBNSYS0000002700
Anemone nemorosa,NBNSYS0000002700,Montane dry heathland,Heathland,y,positive,y,Anemone nemorosa,Anemone nemorosa,NBNSYS0000002700
Anemone nemorosa,NBNSYS0000002700,Native conifer woods and juniper scrub,Native pinewood and juniper scrub,y,positive,y,Anemone nemorosa,Anemone nemorosa,NBNSYS0000002700
Angelica sylvestris,NBNSYS0000003703,Inland rocks and scree,"Rock outcrops, cliffs and scree",y,positive,y,Angelica sylvestris,Angelica sylvestris,NBNSYS0000003703
Angelica sylvestris,NBNSYS0000003703,Machair,Coast,y,positive,y,Angelica sylvestris,Angelica sylvestris,NBNSYS0000003703
Angelica sylvestris,NBNSYS0000003703,Montane rocks and scree,"Rock outcrops, cliffs and scree",y,positive,y,Angelica sylvestris,Angelica sylvestris,NBNSYS0000003703
Antennaria dioica,NHMSYS0000455950,Montane acid grassland,Upland grassland,y,positive,y,Antennaria dioica,Antennaria dioica,NHMSYS0000455950
Antennaria dioica,NHMSYS0000455950,Montane calcareous grassland,Upland grassland,y,positive,y,Antennaria dioica,Antennaria dioica,NHMSYS0000455950
Antennaria dioica,NHMSYS0000455950,Montane dry heathland,Heathland,y,positive,y,Antennaria dioica,Antennaria dioica,NHMSYS0000455950
Anthemis cotula,NBNSYS0000004448,Arable field margins,Arable margins,y,positive,,Anthemis cotula,Anthemis cotula,NBNSYS0000004448
Anthoxanthum odoratum,NBNSYS0000002667,Dry acid grassland,Lowland grassland,y,positive,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthoxanthum odoratum,NBNSYS0000002667,Inland rocks and scree,"Rock outcrops, cliffs and scree",y,positive,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthoxanthum odoratum,NBNSYS0000002667,Montane acid grassland,Upland grassland,y,negative,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthoxanthum odoratum,NBNSYS0000002667,Montane dry heathland,Heathland,y,negative,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthoxanthum odoratum,NBNSYS0000002667,Montane rocks and scree,"Rock outcrops, cliffs and scree",y,positive,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthoxanthum odoratum,NBNSYS0000002667,Native conifer woods and juniper scrub,Native pinewood and juniper scrub,y,positive,,Anthoxanthum odoratum,Anthoxanthum odoratum,NBNSYS0000002667
Anthriscus sylvestris,NBNSYS0000003641,Hedgerows of native species,"Broadleaved woodland, hedges and scrub",y,negative,y,Anthriscus sylvestris,Anthriscus sylvestris,NBNSYS0000003641
Anthyllis vulneraria,NBNSYS0000003255,Dry calcareous grassland,Lowland grassland,y,positive,y,Anthyllis vulneraria,Anthyllis vulneraria,NBNSYS0000003255
Apium graveolens,NBNSYS0000003663,Coastal saltmarsh,Coast,y,positive,y,Apium graveolens,Apium graveolens,NBNSYS0000003663
Apium nodiflorum,NBNSYS0000003666,Rivers and streams,Freshwater,y,positive,,Apium nodiflorum,Apium nodiflorum,NBNSYS0000003666
Arabis hirsuta,NBNSYS0000002889,Inland rocks and scree,"Rock outcrops, cliffs and scree",y,positive,,Arabis hirsuta,Arabis hirsuta,NBNSYS0000002889
Arctium minus/nemorosum,NHMSYS0021123609,Hedgerows of native species,"Broadleaved woodland, hedges and scrub",y,positive,y,Arctium minus/nemorosum,Arctium minus,NBNSYS0000004483
Arctostaphylos uva-ursi,NHMSYS0000456036,Montane dry heathland,Heathland,y,positive,,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,NHMSYS0000456036
Armeria maritima,NHMSYS0021060385,Coastal saltmarsh,Coast,y,positive,y,Armeria maritima,Armeria maritima,NHMSYS0000456077
Armeria maritima,NHMSYS0021060385,Maritime cliffs and slopes,Coast,y,positive,y,Armeria maritima,Armeria maritima,NHMSYS0000456077
