"taxon_list_id","taxon","tvk","level"
167,"Sanguisorba minor","NHMSYS0000462046","wildflower"
167,"Viola reichenbachiana/riviniana","NHMSYS0020083544","wildflower"
167,"Viola riviniana x reichenbachiana = V. x bavarica","NBNSYS0000162145","wildflower"
167,"Conifer seedlings/saplings","NHMSYS0021123555","wildflower"
167,"Silene flos-cuculi","NBNSYS0000156751","wildflower"
167,"Thymus polytrichus/pulegioides","NHMSYS0021123585","wildflower"
167,"Elodea canadensis/nutallii","NHMSYS0021123561","wildflower"
167,"Atriplex","NHMSYS0000456279","wildflower"
167,"Arctium minus/nemorosum","NHMSYS0021123609","wildflower"
167,"Carpobrotus edulis","NHMSYS0000456945","wildflower"
167,"Ulex gallii/minor","NHMSYS0021123591","wildflower"
167,"Cochlearia","NHMSYS0000457389","wildflower"
167,"Polygala serpyllifolia/vulgaris","NHMSYS0021123573","wildflower"
167,"Juncus inflexus/effusus/conglomeratus","NHMSYS0021123567","wildflower"
167,"Rumex crispus/obtusifolius","NHMSYS0021123579","wildflower"
167,"Fumaria","NHMSYS0000458904","wildflower"
167,"Betula pubescens/pendula","NHMSYS0021123549","wildflower"
167,"Ranunculus spp. (water-crowfoots)","NHMSYS0021123597","wildflower"
167,"Thymus polytrichus","NHMSYS0000464447","wildflower"
167,"Limonium","NHMSYS0000460350","wildflower"
167,"Rubus fruticosus agg.","NBNSYS0000003328","wildflower"
167,"Viola palustris","NBNSYS0000002939","wildflower"
167,"Viola arvensis","NBNSYS0000002947","wildflower"
167,"Vicia hirsuta","NBNSYS0000003280","wildflower"
167,"Vicia cracca","NBNSYS0000003283","wildflower"
167,"Veronica officinalis","NBNSYS0000004102","wildflower"
167,"Veronica arvensis","NBNSYS0000004115","wildflower"
167,"Valeriana officinalis","NBNSYS0000004343","wildflower"
167,"Valeriana dioica","NBNSYS0000004345","wildflower"
167,"Vaccinium vitis-idaea","NBNSYS0000003914","wildflower"
167,"Vaccinium oxycoccos","NBNSYS0000003918","wildflower"
167,"Vaccinium myrtillus","NBNSYS0000003915","wildflower"
167,"Stachys officinalis","NHMSYS0000463975","wildflower"
167,"Sorbus aucuparia","NBNSYS0000003438","wildflower"
167,"Solanum dulcamara","NBNSYS0000004037","wildflower"
167,"Silene latifolia","NHMSYS0000463572","wildflower"
167,"Viola riviniana","NHMSYS0000464897","wildflower"
167,"Ulex gallii","NHMSYS0000464695","wildflower"
167,"Silene dioica","NBNSYS0000002998","wildflower"
167,"Sherardia arvensis","NBNSYS0000004300","wildflower"
167,"Senecio jacobaea","NBNSYS0000004364","wildflower"
167,"Sedum rosea","NBNSYS0000003466","wildflower"
167,"Scutellaria minor","NHMSYS0000463361","wildflower"
167,"Saxifraga tridactylites","NBNSYS0000003498","wildflower"
167,"Saxifraga oppositifolia","NBNSYS0000003507","wildflower"
167,"Saxifraga granulata","NBNSYS0000003499","wildflower"
167,"Sanicula europaea","NBNSYS0000003634","wildflower"
167,"Sanguisorba officinalis","NBNSYS0000003387","wildflower"
167,"Salix repens","NBNSYS0000003877","wildflower"
167,"Sagittaria sagittifolia","NBNSYS0000002105","wildflower"
167,"Rumex crispus","NBNSYS0000003789","wildflower"
167,"Rumex acetosella","NBNSYS0000003774","wildflower"
167,"Rumex acetosa","NBNSYS0000003778","wildflower"
167,"Rosa rugosa","NHMSYS0000462477","wildflower"
167,"Rhododendron ponticum","NBNSYS0000003888","wildflower"
167,"Ranunculus bulbosus","NBNSYS0000002710","wildflower"
167,"Ranunculus acris","NBNSYS0000002708","wildflower"
167,"Pteridium aquilinum","NBNSYS0000002031","wildflower"
167,"Prunus spinosa","NBNSYS0000003412","wildflower"
167,"Ulex europaeus","NBNSYS0000003211","wildflower"
167,"Typha latifolia","NBNSYS0000002369","wildflower"
167,"Trollius europaeus","NBNSYS0000002692","wildflower"
167,"Trifolium repens","NBNSYS0000003247","wildflower"
167,"Trifolium pratense","NBNSYS0000003231","wildflower"
167,"Teucrium scorodonia","NBNSYS0000004267","wildflower"
167,"Tamus communis","NBNSYS0000002282","wildflower"
167,"Symphoricarpos albus","NHMSYS0000464104","wildflower"
167,"Succisa pratensis","NBNSYS0000004352","wildflower"
167,"Stellaria media","NHMSYS0000464009","wildflower"
167,"Stellaria holostea","NBNSYS0000003035","wildflower"
167,"Stellaria graminea","NBNSYS0000003037","wildflower"
167,"Prunella vulgaris","NBNSYS0000004225","wildflower"
167,"Primula vulgaris","NHMSYS0000462067","wildflower"
167,"Primula veris","NBNSYS0000003926","wildflower"
167,"Potentilla sterilis","NBNSYS0000003339","wildflower"
167,"Potentilla reptans","NBNSYS0000003354","wildflower"
167,"Potentilla palustris","NBNSYS0000003338","wildflower"
167,"Potentilla erecta","NBNSYS0000003349","wildflower"
167,"Potentilla anserina","NHMSYS0021060392","wildflower"
167,"Potamogeton polygonifolius","NHMSYS0000461999","wildflower"
167,"Potamogeton crispus","NBNSYS0000002144","wildflower"
167,"Plantago media","NBNSYS0000004274","wildflower"
167,"Plantago maritima","NBNSYS0000004276","wildflower"
167,"Plantago lanceolata","NBNSYS0000004275","wildflower"
167,"Pilosella officinarum","NHMSYS0000461280","wildflower"
167,"Phyllitis scolopendrium","NBNSYS0000002039","wildflower"
167,"Urtica dioica","NBNSYS0000003807","wildflower"
167,"Rhinanthus minor","NBNSYS0000004135","wildflower"
167,"Reseda luteola","NBNSYS0000002919","wildflower"
167,"Reseda lutea","NBNSYS0000002920","wildflower"
167,"Ranunculus sceleratus","NBNSYS0000002721","wildflower"
167,"Ranunculus repens","NBNSYS0000002709","wildflower"
167,"Persicaria bistorta","NBNSYS0000003750","wildflower"
167,"Persicaria amphibia","NHMSYS0000461597","wildflower"
167,"Oxyria digyna","NBNSYS0000003772","wildflower"
167,"Oxalis acetosella","NBNSYS0000003175","wildflower"
167,"Osmunda regalis","NBNSYS0000002027","wildflower"
